Price,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,
2017-09-18,630.0419311523438,634.3325982065242,612.3430634697997,619.3153230350928,1409213
2017-09-19,625.60498046875,637.9406026760138,624.0935158885965,637.7943069509491,1232251
2017-09-20,615.1221923828125,629.8469352667271,612.7330723617,624.093549054105,1305505
2017-09-21,603.1766967773438,622.3383442619047,600.5925949440016,615.9023433464002,1388073
2017-09-22,587.33056640625,602.2015465145446,585.0877419656888,602.2015465145446,982598
2017-09-25,587.184326171875,596.2531742067727,570.2655033713152,588.6957909246576,1003871
2017-09-26,577.5303344726562,591.8162500486565,573.4347085465845,591.8162500486565,824136
2017-09-27,575.3362426757812,588.0131429381289,571.4844033847357,587.3305287126705,1073002
2017-09-28,561.3428955078125,576.3113648484591,556.8084421801526,576.3113648484591,1802129
2017-09-29,570.021728515625,572.5571444764662,549.6412076021992,567.3888217370685,3138820
2017-10-03,585.1365356445312,586.8430416993755,573.3860344276737,573.3860344276737,1797702
2017-10-04,585.9652709960938,593.3763569885099,583.7711924369744,588.4518814594577,1262109
2017-10-05,580.943359375,588.7445291190202,579.529385455256,587.9156786409987,656926
2017-10-06,581.7721557617188,589.9146616358969,580.1144549598037,585.038930999214,911164
2017-10-09,600.83642578125,614.7322607696929,597.325863336403,604.5907152866339,2467158
2017-10-10,600.5437622070312,605.8583208895591,598.4472335923354,604.3468561863596,784162
2017-10-11,595.4241943359375,608.1986441603107,592.4987559893445,603.9567228468335,1166347
2017-10-12,607.9548950195312,610.9290789511684,592.7425789708013,599.7148979329108,2285154
2017-10-13,609.6126708984375,617.7551178633097,605.5657903600874,609.4663751611185,1652696
2017-10-16,611.85546875,615.3172257073128,606.5896556894411,606.5896556894411,730725
2017-10-17,610.1978149414062,616.2437340805841,608.4913088668598,615.2198423394979,707951
2017-10-18,597.6671142578125,611.1241195645126,595.8143127186745,610.2464642000369,789926
2017-10-19,591.864990234375,599.617414326382,586.0628585168,598.7397589506077,162721
2017-10-23,589.0369262695312,592.8400194566184,580.1143761278086,586.5503158863688,930435
2017-10-24,590.9873046875,596.2531176369157,585.1851732661355,588.9882670094022,538189
2017-10-25,576.067626953125,598.0084168074548,574.7023984437972,594.8391916062739,1096069
2017-10-26,570.1193237304688,583.6738219611024,567.6326529827384,572.4108937910029,1708870
2017-10-27,575.385009765625,577.3840475940787,569.0953048024699,571.5331703294137,1201819
2017-10-30,602.9329223632812,606.5409754391486,574.5561899241334,574.5561899241334,1375701
2017-10-31,619.461669921875,623.6060415821158,605.8583675099142,608.4912743506494,1884635
2017-11-01,621.60693359375,627.1652786272565,618.7302405088634,624.0935444061033,966894
2017-11-02,638.8670654296875,645.3517520369976,619.2665908320836,619.2665908320836,1680690
2017-11-03,643.352783203125,651.3977403254073,635.7953992397688,647.4971550539977,2416963
2017-11-06,764.22216796875,804.1544208968475,707.663682512866,707.663682512866,21820434
2017-11-07,735.065185546875,760.4189864671634,729.8969226475332,758.6637352301681,5830428
2017-11-08,724.8261108398438,742.5250370119741,720.5842489563729,738.7219432750578,2994196
2017-11-09,758.5662841796875,760.3215355086865,721.8032590146512,721.8032590146512,5216016
2017-11-10,762.6130981445312,772.2183242319945,747.5470769700714,750.033747473992,3225337
2017-11-13,746.0842895507812,770.9017707721081,743.353892256404,760.6139908760775,1082635
2017-11-14,755.0556030273438,763.9782135279165,738.8194563947228,745.9867563246825,1514814
2017-11-15,751.8865356445312,759.1513874148918,726.483986671926,726.483986671926,1512882
2017-11-16,749.2047729492188,758.3224251359594,746.864457906985,752.0327205832233,794968
2017-11-17,766.7573852539062,778.1666068062079,755.2506728965013,759.0537665866672,2404092
2017-11-20,764.4658203125,773.6809631421725,758.6636889369139,771.4380794292158,1244897
2017-11-21,795.1829833984375,799.0835682117053,768.6589947645766,769.3903544170643,4969028
2017-11-22,792.9400634765625,806.4458129576324,790.0146252191588,799.6197903570236,4216518
2017-11-23,785.870361328125,800.1074723115184,774.7049252222093,794.7441681095522,1689989
2017-11-24,808.688720703125,811.126586169804,776.9477242306041,786.8942272382945,2744733
