Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2017-07-03,775.889892578125,780.0533069566463,770.580395732735,773.0831040673364,1752166
2017-07-04,773.4338989257812,779.6789915077898,772.8023829755565,776.6617169099078,1883040
2017-07-05,771.2821655273438,776.3109954163014,769.5279225428236,773.3170759685343,2007100
2017-07-06,775.6793823242188,777.948191546181,772.4983326018703,773.0597245492442,2285838
2017-07-07,779.9129638671875,781.0356907199621,775.6092442198549,776.942457374411,2758698
2017-07-10,784.193359375,817.7111057661884,777.036082471526,780.287256532038,654626
2017-07-11,786.0880126953125,790.9531248143651,779.8662745376396,784.7547994056013,2205140
2017-07-12,786.485595703125,788.2398386675186,775.866601133701,785.9008480483271,2869446
2017-07-13,787.5615234375,792.1225549665957,785.7370994050095,789.6432021654855,2240502
2017-07-14,785.8773803710938,788.7309944104629,782.1584083882243,787.7252170936574,1221626
2017-07-17,787.0001831054688,789.4795360693189,784.4974744973647,787.0937769952783,1199670
2017-07-18,787.5615234375,789.573021028801,784.6611409205442,785.7604550477305,1161094
2017-07-19,791.6546630859375,793.4790297980625,786.7661391994695,788.239714478247,1993622
2017-07-20,800.3557739257812,802.2737346986695,789.713367241003,792.4032062931997,1849238
2017-07-21,796.6835327148438,802.3906463755644,795.256725747535,801.8526671696485,1936754
2017-07-24,811.676513671875,813.9687359007239,792.9178203170845,799.9347921782977,9839088
2017-07-25,813.8049926757812,822.8568746744575,810.7175365736936,822.8568746744575,5580234
2017-07-26,817.5006103515625,820.9856834309751,810.4602259510908,814.9043079981531,1947672
2017-07-27,837.1948852539062,841.4752493110684,819.3717889760243,821.453467689684,8980856
2017-07-28,831.9788818359375,835.7212664604455,823.839183856781,828.9381943285248,4627698
2017-07-31,834.7388916015625,837.8263474577749,826.3887074321731,831.5344862272794,3684570
2017-08-01,840.7267456054688,846.3169673168038,829.0317927837576,833.5460559937904,4258430
2017-08-02,838.1304321289062,845.3111211561717,833.6395820317172,845.3111211561717,3698958
2017-08-03,832.6572265625,838.2942166534649,830.0609813036135,836.4230242055777,2128392
2017-08-04,837.4754638671875,840.5161512098138,826.2015422176855,831.277139668757,1772534
2017-08-07,836.6802978515625,840.3758570841921,835.0195917880955,835.487389878733,959330
2017-08-08,831.6983032226562,840.7501855789367,826.1782624703477,838.3410137987953,2017686
2017-08-09,825.4063720703125,831.300674080562,822.552814951981,828.4704726057316,1635028
2017-08-10,823.53515625,826.131458590673,819.9799020506433,823.3246699431395,3894222
2017-08-11,818.202392578125,822.3891632581245,809.8287941138583,816.3077871930759,3179918
2017-08-14,822.0147705078125,830.3181865002742,817.7110509759581,820.0500413963699,1788542
2017-08-16,833.2653198242188,837.2650162010779,817.9683456367276,824.4239247993378,2213416
2017-08-17,825.8507080078125,833.1249335911453,820.4008491783072,830.9263055469527,2727434
2017-08-18,819.6524658203125,823.7924676525694,815.3721017140423,823.3246695448735,1853732
2017-08-21,815.465576171875,822.8568085503001,813.1265858121527,820.5178181905778,2004862
2017-08-22,817.2432861328125,820.517872854581,812.4717683227968,819.2548408178889,3304778
2017-08-23,829.148681640625,831.7215710731352,818.6466376168999,818.6466376168999,1680262
2017-08-24,824.4940795898438,830.3181425869465,822.9269675119,830.2947869465326,3939138
2017-08-28,824.3772583007812,828.5406730973623,822.5528341647217,824.4474394414497,753892
2017-08-29,816.8456420898438,822.856836094698,813.0330762550228,822.856836094698,2459298
2017-08-30,827.3243408203125,828.0026252139535,818.6700760934999,819.5588467874408,1347160
2017-08-31,831.0198364257812,832.6103612421737,821.6405196352155,828.9381579115542,3651718
2017-09-01,826.8798217773438,833.3588133491355,823.8391344522769,833.1483270683325,1147586
2017-09-04,819.0677490234375,825.6636911694342,816.8222951802516,825.6636911694342,1821262
2017-09-05,821.1493530273438,825.6168475587273,819.1144427884981,821.9212312846322,1841218
2017-09-06,823.2778930664062,824.6345189862482,813.0331031876658,815.7229422804904,2875816
2017-09-07,826.388671875,831.1601891652729,823.3713401760517,823.3713401760517,3473210
2017-09-08,836.25927734375,837.3585914479834,828.4704276281444,829.5931544788708,4155832
2017-09-11,852.9596557617188,855.6027264523663,837.4521372977306,838.7619948218113,5738838
2017-09-12,858.5030517578125,860.7017370941578,850.5973095375962,854.9945660017661,3343840
2017-09-13,861.6138916015625,864.9586593308053,853.2637072035635,858.4094861395499,2497688
2017-09-14,860.4678344726562,866.5959781469323,856.7722180707727,860.8186830468047,4077008
2017-09-15,864.935302734375,866.2685730468401,857.684431944776,858.8773399808987,1883666
2017-09-18,870.3150024414062,872.186194949204,866.5960301738635,867.0872410488658,2042464
2017-09-19,865.2861328125,873.8468609839724,864.2804125691873,872.396698277924,2120734
2017-09-20,864.8885498046875,870.7827947439732,863.2044879797863,864.4909328202928,1723064
2017-09-21,860.3274536132812,864.7247670684546,856.3979382468656,864.4908680240759,3856248
2017-09-22,853.3104248046875,860.2572145339649,851.3924641908229,858.315898279791,4121762
2017-09-25,841.9195556640625,852.5385487487804,838.5747881254184,852.5385487487804,5074614
2017-09-26,838.4345703125,840.4460679107503,835.0196212884953,836.9142264642156,5719366
2017-09-27,831.0432739257812,844.6561863840407,828.002586461375,840.1653363189998,3668610
2017-09-28,839.8380126953125,841.5688429491664,824.8684724093906,829.87388960079,13823232
2017-09-29,844.703125,852.3282579429532,840.2824551756476,842.0834666928182,3106816
2017-10-03,846.1765747070312,851.8603329954808,840.6799470778732,845.7789577461995,2197212
2017-10-04,840.6331787109375,847.6033817638389,838.9257042392815,845.7321893793961,3312552
2017-10-05,841.3817138671875,844.3756333508912,838.8088241256751,839.6976520026868,1668098
2017-10-06,842.0833740234375,844.1182843995311,839.2298169474229,841.1010094043849,1515330
