Price,Close,High,Low,Open,Volume
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
Date,,,,,
2017-09-05,352.02276611328125,353.087134727775,347.31493765024425,351.2449409813692,1095614
2017-09-06,348.3998107910156,356.97625212077537,346.4143450713537,353.2918641975105,1658772
2017-09-07,351.7771301269531,353.5783962538652,348.48165515477166,350.99932997069504,2949318
2017-09-08,351.8590087890625,355.95277270749256,350.4671190622555,354.88840408324154,2320104
2017-09-11,352.3502502441406,355.0521243191127,348.7886707916041,352.8824345332896,1439608
2017-09-12,353.7216491699219,354.9293144643892,350.48759082347556,354.9293144643892,1698738
2017-09-13,356.68963623046875,358.2043338394028,352.7596329623142,353.7011936425646,2237308
2017-09-14,360.5787353515625,361.0904558618214,356.6896594735949,358.61373358943894,2327652
2017-09-15,363.13739013671875,365.71645688212726,355.4615813787431,360.9881636844856,3502380
2017-09-18,367.3538513183594,367.82464410724884,363.9355688495762,364.34494519248915,1361938
2017-09-19,365.8392333984375,367.62001076114694,364.03796722644756,367.62001076114694,1095726
2017-09-20,364.11981201171875,367.0673268302312,362.29808219437524,366.3918458349897,1792966
2017-09-21,356.2803039550781,365.98253039572563,355.7685834148156,364.67252081538277,5197522
2017-09-22,362.0729675292969,364.3450015868657,355.99371290426603,356.15747346131815,6281534
2017-09-25,357.8153991699219,361.88869891173,356.19835756552374,360.25119348679004,3550896
2017-09-26,357.6517028808594,363.07594019642477,353.8240185380639,359.8009289870268,3446850
2017-09-27,358.0611267089844,360.6401933807248,357.0171967586331,358.5933111037315,2541882
2017-09-28,358.28619384765625,360.5582276393712,352.7391491889359,358.06104184781964,6193068
2017-09-29,358.1224365234375,362.80980086617177,354.8064979853784,359.02306951721596,2360270
2017-10-03,361.29522705078125,363.30118190627934,358.92084833508636,359.6167933861587,2684244
2017-10-04,362.95306396484375,363.71042520842985,359.43243732950464,361.84776780268237,1240900
2017-10-05,365.6344909667969,369.1346537043004,362.35948022081016,363.52619280452825,3552176
2017-10-06,371.6728210449219,372.1231250631091,363.4443409114518,363.4443409114518,3640948
2017-10-09,369.5850830078125,371.61150159128823,367.3949288233267,371.61150159128823,1206462
2017-10-10,368.27490234375,375.3980598201539,367.2514616135969,370.4855443154191,3423160
2017-10-11,372.1026916503906,374.9887903341855,368.23407959126627,368.23407959126627,4337494
2017-10-12,374.98876953125,376.6262750750546,371.0178135902535,373.3512639874454,2076624
2017-10-13,379.28729248046875,383.1763688739544,374.12915904786195,376.5240013587816,2210684
2017-10-16,377.85443115234375,381.9072676565365,376.62630190699485,379.2872486052508,1651154
2017-10-17,377.9771728515625,382.2960882770211,375.93029113462956,375.93029113462956,960424
2017-10-18,378.1409912109375,381.1294339773995,375.72566042105086,379.08255194744567,1160686
2017-10-19,377.56781005859375,379.08250758075445,375.2343598202759,375.2343598202759,58388
2017-10-23,383.68792724609375,386.3693369444361,377.48586646704933,377.7724348669029,3597394
2017-10-24,374.39520263671875,384.6091493872759,371.73425588736563,384.4044611757872,3155652
2017-10-25,371.32476806640625,378.26370135145385,358.6136389435861,366.14617286114066,6147680
2017-10-26,355.7685241699219,372.53249127454654,351.24492034457245,371.20201809142316,11565142
2017-10-27,349.996337890625,356.89431983626,348.89101667742165,356.17791117778484,4592368
2017-10-30,342.3819580078125,353.47607395360785,340.60118057985113,352.0637203109038,7251452
2017-10-31,350.34423828125,352.3297283605795,342.647968712457,343.87609763257336,2958728
2017-11-01,344.9484558105469,353.1551636150456,343.8610570084969,352.88843559344554,3257662
2017-11-02,352.0266418457031,352.88833590379625,345.15352600106525,346.4871156425621,2965682
2017-11-03,347.6155700683594,352.888368817034,346.7128273717119,352.888368817034,2761172
2017-11-06,346.75390625,350.9393321155434,343.69690267421726,349.6057421367354,2273368
2017-11-07,359.761474609375,361.0950643356145,346.4460891030234,348.7850053241731,5960612
2017-11-08,360.5205078125,363.04407938822015,355.0835662449454,361.9156575534447,3821814
2017-11-09,359.4333190917969,364.56251188366315,357.9971451100743,360.89000483570953,1600452
2017-11-10,355.78131103515625,361.48498323293114,353.99636202561277,361.48498323293114,3070800
2017-11-13,356.78662109375,360.43861607747084,354.73494414668994,354.73494414668994,5322040
2017-11-14,356.90966796875,363.08520972720856,355.39142222625156,356.17106937763435,2012894
2017-11-15,348.1080017089844,359.8641200972764,347.1437236058105,359.8641200972764,3122146
2017-11-16,349.564697265625,352.3549726572638,344.14826559663055,348.6619544799789,2181070
2017-11-17,344.68170166015625,351.3291394868644,344.0661986214774,348.3336963742705,3096988
2017-11-20,345.56390380859375,348.1490113459348,343.4096433533294,345.9126788167319,2260478
2017-11-21,343.7378845214844,347.22573455831895,342.67099771858403,345.953680106193,2987142
2017-11-22,345.56390380859375,346.4461097300117,342.38380504129873,344.08668161234124,2269436
2017-11-23,350.3033447265625,351.2471111611257,345.58448750886043,347.96442787924605,2332448
2017-11-24,352.2318420410156,354.32454211546536,350.8366919614625,350.8366919614625,1646756
2017-11-27,353.1756591796875,354.1194255249488,350.05709533005796,351.86258098220577,1592740
2017-11-28,352.58056640625,354.55017061316073,351.5752400266663,353.29865309954175,2108650
2017-11-29,350.0776062011719,354.09888753409973,347.2052588140975,352.88839326914206,1523670
2017-11-30,347.9644470214844,352.026777824242,345.6255300454993,348.7851178871011,6822606
2017-12-01,340.5783386230469,348.76453381940854,339.3883560966521,347.55403953460325,2768524
2017-12-04,347.9438171386719,348.66190390231003,338.4650568317211,343.04030537228135,1793768
2017-12-05,347.9644470214844,349.9751006602002,344.3124516515351,347.9234234961584,1980098
2017-12-06,352.3138732910156,352.949913032403,346.73332331245894,346.93849095938936,3179456
2017-12-07,354.32452392578125,355.7606974448782,350.2621945252412,352.9499107183113,2450146
2017-12-08,357.1763916015625,358.14066960531454,354.28353254542554,356.86864010527387,1739846
2017-12-11,361.09503173828125,361.9157022649592,357.7097658157349,358.838187789917,1597008
